temp_c,precp_cm,biome_id,biome
-10.216002065388317,1.6071335024658935,6,Tundra
-10.628572769732672,1.6969384013231268,6,Tundra
-11.141164597366629,1.8460519521339895,6,Tundra
-11.617762339521674,2.0280939658591715,6,Tundra
-12.059605229187692,2.2421289748022435,6,Tundra
-12.467988828126833,2.486286043570343,6,Tundra
-12.844171145586404,2.7581329561527586,6,Tundra
-13.189541624615675,3.0563600577744863,6,Tundra
-13.505433379491631,3.3787222259640948,6,Tundra
-13.793029314431902,3.7235356188680093,6,Tundra
-14.05377520125801,4.0896776752505195,6,Tundra
-14.288835167930154,4.474154898483048,6,Tundra
-14.49963621001244,4.875470540251303,6,Tundra
-14.687398784237331,5.2919407587017195,6,Tundra
-14.853437228624404,5.720946244284293,6,Tundra
-14.999103433708076,6.1624869969990215,6,Tundra
-15.125692961250497,6.612634052520897,6,Tundra
-15.234463820498977,7.070826130232071,6,Tundra
-15.32680545450278,7.534256827043249,6,Tundra
-15.403900767479522,8.001990675258003,6,Tundra
-15.467195531250734,8.471034178247757,6,Tundra
-15.517872650034032,8.941013148933942,6,Tundra
-15.557340343136104,9.408746997148697,6,Tundra
-15.586819067289412,9.873487348734871,6,Tundra
-15.607641936770955,10.332614894142475,6,Tundra
-15.621142065857722,10.784258697978643,6,Tundra
-15.628633792569298,11.227109105468372,6,Tundra
-15.631337573638135,11.658359713522374,6,Tundra
-15.630680404628347,12.077075054444219,6,Tundra
-15.62790151852982,12.481197099301768,6,Tundra
-15.62422137207501,12.868480725623584,6,Tundra
-15.621142065857722,13.237616278634668,6,Tundra
-15.619752622808459,13.498424672399207,6,Tundra
-15.619752622808459,13.586171542324301,6,Tundra
-15.619752622808459,13.964848865838967,6,Tundra
-15.580435139765765,15.102003397618674,6,Tundra
-15.466613467270637,16.46797332794504,6,Tundra
-15.284558875302178,17.73366112121416,6,Tundra
-15.04069284389889,18.949020752415375,6,Tundra
-14.7413054192973,20.165128757773733,6,Tundra
-14.39261154270425,21.43100364458214,6,Tundra
-14.001032694158237,22.796973574908506,6,Tundra
-13.679564390827798,23.927579832813215,6,Tundra
-13.57276503860868,24.31411508497788,6,Tundra
-13.513732485272374,24.528337187460238,6,Tundra
-13.335789893679442,25.150236112046574,6,Tundra
-13.070650362616473,26.063813864379632,6,Tundra
-12.779618372567889,27.081041437477076,6,Tundra
-12.464890745652124,28.228486113917512,6,Tundra
-12.12875818527472,29.53234098920096,6,Tundra
-11.773398737296688,31.020295907141726,6,Tundra
-11.400952895064192,32.71947943093628,6,Tundra
-11.01369258572535,34.65552337546679,6,Tundra
-10.613833407656019,36.85593049100828,6,Tundra
-10.203609735489474,39.34670677952148,6,Tundra
-9.78510573379961,42.15516789774216,6,Tundra
-9.360649658506818,45.30881659594531,6,Tundra
-8.932400779214682,48.832910501934535,6,Tundra
-8.50266857558617,52.75532655306346,6,Tundra
-8.073537212195179,57.103006218989236,6,Tundra
-7.750585584528364,60.674621883957094,6,Tundra
-7.647184734902714,61.90158131459404,6,Tundra
-7.423766047832514,64.55157420503956,6,Tundra
-6.768587321332174,72.63102160556191,6,Tundra
-5.890121341563593,83.88451090006959,6,Tundra
-4.997742155044945,95.69684859642425,6,Tundra
-4.306832210669606,104.9974555278657,6,Tundra
-4.077405121224212,108.10433084124737,6,Tundra
-4.096782218884219,107.33387964646803,6,Tundra
-4.154124909052504,105.02159059443356,6,Tundra
-4.314755791301898,98.34478345793761,6,Tundra
-4.39412303142676,94.89515278058417,6,Tundra
-4.469960335156193,91.4683475150236,6,Tundra
-4.53977046025301,88.13639867388098,6,Tundra
-4.601394137113618,84.97264692455641,6,Tundra
-4.640636515126621,82.78084611182206,6,Tundra
-4.652503109817636,82.04931037321418,6,Tundra
-4.678846198981387,80.43488022271615,6,Tundra
-4.765892928392049,75.60618306728631,6,Tundra
-4.889928884925013,69.3971097790051,6,Tundra
-5.020048348862861,63.481773347402765,6,Tundra
-5.1515384795925545,57.92004370505077,6,Tundra
-5.279892975332691,52.773474626374195,6,Tundra
-5.400398995470228,48.102871511640956,6,Tundra
-5.508437580679232,43.96698173218682,6,Tundra
-5.577158682845542,41.31399534511274,6,Tundra
-5.599389771633768,40.42904290429043,6,Tundra
-5.62021264111531,39.597412122164585,6,Tundra
-5.692238364587979,37.12702902943356,6,Tundra
-5.806304128429599,33.75130030009804,6,Tundra
-5.937061985119816,30.427583574683993,6,Tundra
-6.079799094045579,27.27992186973799,6,Tundra
-6.2298589433661125,24.433293669503,6,Tundra
-6.382491139953528,22.012677458222008,6,Tundra
-6.533076724481892,20.143238813677286,6,Tundra
-6.637078414345058,19.182887676522753,6,Tundra
-6.676020372239303,18.950517500729667,6,Tundra
-6.724725983993238,18.670625565957955,6,Tundra
-6.868251695730747,17.827956265014258,6,Tundra
-7.035473044335438,16.836173413259694,6,Tundra
-7.182171943577346,15.969556139287395,6,Tundra
-7.308836576149458,15.210143463325924,6,Tundra
-7.417907855516698,14.545025931164545,6,Tundra
-7.512220996549862,13.972145513871116,6,Tundra
-7.5929776797239885,13.467741331956324,6,Tundra
-7.663013119909874,13.030690824184457,6,Tundra
-7.723885746473584,12.640600794773357,6,Tundra
-7.778017696622621,12.291858437544436,6,Tundra
-7.827380477386344,11.970431737051253,6,Tundra
-7.874095805853498,11.666404735711664,6,Tundra
-7.920304175370245,11.361629360214934,6,Tundra
-7.968127303025325,11.0568539847182,6,Tundra
-8.01961180087779,10.728691916810726,6,Tundra
-8.06260943037529,10.45890303316046,6,Tundra
-8.076898162273805,10.370594882617514,6,Tundra
